<class 'pandas.core.frame.DataFrame'>
RangeIndex: 2707 entries, 0 to 2706
Columns: 161 entries, Unnamed: 0 to index_right
dtypes: float64(91), int64(12), object(58)
memory usage: 3.3+ MB

---------------------------------

,Unnamed: 0,Crash ID,DOT Case Number,Time Of Crash,Severity,Severity Text Format,Number Of Vehicles,Number Of Pedestrians,Number Of Qualifying Commercial Vehicles,Town,Town Text Format,Route Class,Route or Local Road Number,Route Direction,Route Direction Text Format,Cumulative Route Mileage,Ramp or Turning Road Number,Ramp Letter,At or Between Intersections,At or Between Intersections Text Format,Intersecting Leg #1,Intersecting Leg #2,Intersecting Leg #3,Intersecting Leg #4,Name of Road that Crash Occurred On,Name or Route Number of Road at which Crash Occurred,Measure Distance,Unit Of Measure,Unit Of Measure Text Format,Measure Direction,Measure Direction Text Format,"Name of Nearest Intersection, Street, Town Line or Mile Marker",Alpha Description of Crash Location,Collision Type,Collision Type Text Format,Weather Condition,Road Surface Condition,Light Condition,Crash Occurred On,Crash Occurred On Text Format,Other Roadway Feature,Other Roadway Feature Text Format,Median Barrier Penetration,Median Barrier Penetration Text Format,Construction or Maintenance Related,Construction or Maintenance Related Text Format,At-Fault Traffic Unit Number,Contributing Factor,Contributing Factor Text Format,Average Daily Traffic,Rural or Urban,Number of Lanes,CrashId,Fatal Case Status,CrashId.1,CrashId.2,Latitude,Longitude,Town Number,Town Number.1,Year,Month,Day,Day of the Week,Hour of the Day,Number Of Motor Vehicles,Number Of Non-Motorist,Number Of Witnesses,Milemarker,Road Number,Distance From Nearest Landmark,Latitude.1,Longitude.1,First Harmful Event,Manner of Crash / Collision Impact,Location of First Harmful Event,Weather 2,"Contributing Circumstances, Environment",Environment 2,Environment 3,"Contributing Circumstances, Road",Road 2,Road 3,Crash Specific Location,Type of Intersection,School Bus Related,Work Zone Related,Location Of Crash Relative To Work Zone,Type of Work Zone,Worker Presence,Law Enforcement Presence,Trafficway Ownership,Trafficway Class,No. of Through Lanes (Reverse Dir.),No. of Through Lanes (Log Dir.),Highway Type (FHWA),Functional Classification,fatal,suspected_serious_injury,suspected_minor_injury,possible_injury,no_apparent_injury,index_right
count,2707.0,0.0,2707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2707.0,2707.0,2707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043.0,2476.0,0.0,2707.0,2707.0,2707.0,2707.0,2707.0,2707.0,2707.0,2707.0,2707.0,2707.0,2707.0,2707.0,2707.0,2707.0,2707.0,2707.0,2631.0,2613.0,1053.0,2707.0,2707.0,2707.0,2707.0,2707.0,2466.0,2707.0,2463.0,2448.0,2707.0,2465.0,2450.0,2707.0,2707.0,2707.0,2707.0,2682.0,2682.0,2681.0,2681.0,2707.0,2707.0,764.0,2476.0,764.0,2476.0,2707.0,2707.0,2707.0,2707.0,2707.0,2707.0
mean,16815.0,,2683954.213520502,,,,,,,,,3.4639822681935724,,,,,,,,,,,,,,,,,,,,,,,,1.6723309937199853,1.4510528260066495,1.9512375323236055,,,,,,,,,,,,10560.376896720509,1.9753634894991923,,433149.5352789065,0.9992611747321758,433149.5352789065,433149.5352789065,41.44768199136682,-72.88707777352789,84.40930919837459,84.40930919837459,2017.0849649057998,7.053195419283339,15.798670114517916,4.140746213520503,14.42630217953454,1.0177318064277798,1.0177318064277798,0.4329516069449575,44.40698213606994,278.3226176808266,949667604172.1406,41.44768199136682,-72.88707777352789,12.570742519394162,56.69634281492427,3.334318433690432,85.93795620437956,4.082009604728482,87.07632967925295,87.39828431372548,3.790173623937939,87.51967545638945,87.57428571428571,5.342076099002586,2.2020687107499075,1.0760990025858885,1.0018470631695604,88.19537658463832,88.19351230425056,87.89966430436404,87.89891831406192,2.6169190986331734,1.5666789804211303,0.6138743455497382,2.341276252019386,2.1845549738219896,4.673667205169629,0.006280014776505356,0.09013668267454747,0.46213520502401184,0.26191355744366457,0.1795345400812708,0.0
std,781.5879135878872,,352771.5997844674,,,,,,,,,0.8953435984753003,,,,,,,,,,,,,,,,,,,,,,,,6.622889087384383,5.9444417292189025,5.696874940920316,,,,,,,,,,,,8649.050663507327,0.16756988333766384,,216328.39186164332,0.027176317549925885,216328.39186164332,216328.39186164332,0.2522354122992837,0.36925051704433126,42.3223843238883,42.3223843238883,1.547290752875567,2.635559033474585,8.683038048166237,1.9018192259809228,4.393186927948092,0.147845919289323,0.13476989407926188,0.7481390355436972,1930.3213874034848,264.4624478196754,30816677167171.41,0.2522354122992837,0.36925051704433126,11.775605881154016,41.8670880879537,13.754881439732767,13.224746416036362,19.358291678603166,8.944990520417425,7.290366052948922,18.66538130359443,6.624105420500298,6.137693886084687,14.171701260071144,5.0361027858337595,2.663869810470286,0.0429456964906019,4.138754471459716,4.17692311715569,6.574090076583039,6.583890529250979,11.725074127941435,6.524690567999578,0.8560117617309475,0.8836612466355547,1.653059338081272,1.4902136111237911,0.07901191296595293,0.2864303904938367,0.49865630924569676,0.43975707522204793,0.3838701919750423,0.0
min,15462.0,,915164.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,100.0,1.0,,24641.0,0.0,24641.0,24641.0,41.004514,-73.689543,2.0,2.0,2015.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,41.004514,-73.689543,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,16138.5,,2419659.5,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,5600.0,2.0,,257916.0,1.0,257916.0,257916.0,41.279671210000004,-73.1219405,57.0,57.0,2016.0,5.0,8.0,3.0,12.0,1.0,1.0,0.0,0.2,71.0,50.0,41.279671210000004,-73.1219405,10.0,3.0,1.0,88.0,0.0,88.0,88.0,0.0,88.0,88.0,2.0,1.0,1.0,1.0,88.0,88.0,88.0,88.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,16815.0,,2568318.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,9100.0,2.0,,429021.0,1.0,429021.0,429021.0,41.349656,-72.921788,90.0,90.0,2017.0,7.0,16.0,4.0,15.0,1.0,1.0,0.0,0.63,184.0,100.0,41.349656,-72.921788,10.0,88.0,1.0,88.0,0.0,88.0,88.0,0.0,88.0,88.0,2.0,2.0,1.0,1.0,88.0,88.0,88.0,88.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,17491.5,,3056522.5,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,13600.0,2.0,,638372.5,1.0,638372.5,638372.5,41.689493,-72.68624750000001,104.0,104.0,2018.0,9.0,23.0,6.0,17.0,1.0,1.0,1.0,2.335,436.0,230.0,41.689493,-72.68624750000001,10.0,88.0,1.0,88.0,0.0,88.0,88.0,0.0,88.0,88.0,3.0,3.0,1.0,1.0,88.0,88.0,88.0,88.0,1.0,1.0,1.0,2.0,3.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0
max,18168.0,,3231695.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,99.0,99.0,99.0,,,,,,,,,,,,135900.0,3.0,,791552.0,1.0,791552.0,791552.0,42.029884,-71.797631,169.0,169.0,2020.0,12.0,31.0,7.0,23.0,4.0,3.0,6.0,99015.0,1363.0,999999986991104.0,42.029884,-71.797631,99.0,99.0,99.0,97.0,99.0,88.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,2.0,99.0,99.0,99.0,99.0,99.0,99.0,3.0,6.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0
